name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Eberechi Eze,MID,199,Crystal Palace,Brighton & Hove Albion,6.6,1.0,1.47,1
Boubacar Kamara,MID,42,Aston Villa,Nottingham Forest,5.0,1.0,1.23,2
Ross Barkley,MID,29,Aston Villa,Nottingham Forest,5.2,1.0,2.0,1
Kobbie Mainoo,MID,378,Manchester United,Manchester City,5.2,1.0,0.75,2
Sander Berge,MID,622,Fulham,Liverpool,5.0,1.0,1.96,1
Will Hughes,MID,203,Crystal Palace,Brighton & Hove Albion,4.9,1.0,2.18,3
Jakub Moder,MID,137,Brighton & Hove Albion,Crystal Palace,4.4,1.0,0.07,0
Raheem Sterling,MID,186,Arsenal,Everton,6.7,1.0,0.71,0
Myles Lewis-Skelly,MID,597,Arsenal,Everton,4.5,1.0,0.0,3
Alexander Isak,FWD,401,Newcastle United,Leicester City,8.6,1.0,4.6,11
Rasmus Højlund,FWD,375,Manchester United,Manchester City,6.9,1.0,1.72,1
Callum Wilson,FWD,421,Newcastle United,Leicester City,6.9,0.0,0.65,0
Callum Wilson,FWD,421,Newcastle United,Leicester City,6.9,0.0,0.65,0
Jhon Durán,FWD,38,Aston Villa,Nottingham Forest,5.8,1.0,1.72,5
Evan Ferguson,FWD,123,Brighton & Hove Albion,Crystal Palace,5.5,1.0,0.95,1
Evan Ferguson,FWD,123,Brighton & Hove Albion,Crystal Palace,5.5,1.0,0.95,1
Kai Havertz,FWD,4,Arsenal,Everton,7.9,1.0,2.57,2
Yoane Wissa,FWD,110,Brentford,Chelsea,6.2,1.0,5.8,2
Nicolas Jackson,FWD,180,Chelsea,Brentford,8.2,1.0,4.04,9
Jamie Vardy,FWD,306,Leicester City,Newcastle United,5.6,1.0,3.34,1
Paul Onuachu,FWD,470,Southampton,Tottenham Hotspur,4.9,1.0,0.13,0
Paul Onuachu,FWD,470,Southampton,Tottenham Hotspur,4.9,1.0,0.13,0
Igor Thiago Nascimento Rodrigues,FWD,107,Brentford,Chelsea,5.9,1.0,0.93,0
Igor Thiago Nascimento Rodrigues,FWD,107,Brentford,Chelsea,5.9,1.0,0.93,0
Cameron Archer,FWD,27,Southampton,Tottenham Hotspur,5.0,1.0,1.28,1
Erling Haaland,FWD,351,Manchester City,Manchester United,14.9,1.0,4.83,2
Joshua Zirkzee,FWD,389,Manchester United,Manchester City,6.6,1.0,1.62,1
Jørgen Strand Larsen,FWD,566,Wolverhampton Wanderers,Ipswich Town,5.7,1.0,3.86,2
Odsonne Edouard,FWD,198,Leicester City,Newcastle United,5.1,1.0,0.07,0
Odsonne Edouard,FWD,198,Leicester City,Newcastle United,5.1,1.0,0.07,0
Deivid Washington de Souza Eugênio,FWD,165,Chelsea,Brentford,4.9,1.0,0.0,0
Deivid Washington de Souza Eugênio,FWD,165,Chelsea,Brentford,4.9,1.0,0.0,0
Enes Ünal,FWD,65,Bournemouth,West Ham United,5.4,1.0,1.9,8
Francisco Evanilson de Lima Barbosa,FWD,617,Bournemouth,West Ham United,6.1,1.0,3.74,2
Gabriel Fernando de Jesus,FWD,2,Arsenal,Everton,6.8,1.0,0.61,1
Gabriel Fernando de Jesus,FWD,2,Arsenal,Everton,6.8,1.0,0.61,1
Ross Stewart,FWD,473,Southampton,Tottenham Hotspur,4.4,0.0,0.0,0
Ross Stewart,FWD,473,Southampton,Tottenham Hotspur,4.4,0.0,0.0,0
Danny Welbeck,FWD,148,Brighton & Hove Albion,Crystal Palace,5.8,1.0,1.02,0
Patson Daka,FWD,289,Leicester City,Newcastle United,4.8,1.0,3.23,1
Patson Daka,FWD,289,Leicester City,Newcastle United,4.8,1.0,3.23,1
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,Crystal Palace,5.9,1.0,6.85,2
Leon Chiwome,FWD,539,Wolverhampton Wanderers,Ipswich Town,4.5,1.0,0.0,0
Leon Chiwome,FWD,539,Wolverhampton Wanderers,Ipswich Town,4.5,1.0,0.0,0
Saša Kalajdžić,FWD,555,Wolverhampton Wanderers,Ipswich Town,4.8,0.0,0.0,0
Saša Kalajdžić,FWD,555,Wolverhampton Wanderers,Ipswich Town,4.8,0.0,0.0,0
Carlos Vinícius Alves Morais,FWD,258,Fulham,Liverpool,5.0,1.0,0.0,0
Carlos Vinícius Alves Morais,FWD,258,Fulham,Liverpool,5.0,1.0,0.0,0
William Osula,FWD,590,Newcastle United,Leicester City,4.9,1.0,0.06,1
William Osula,FWD,590,Newcastle United,Leicester City,4.9,1.0,0.06,1
Jean-Philippe Mateta,FWD,207,Crystal Palace,Brighton & Hove Albion,7.2,1.0,2.69,1
Marc Guiu Paz,FWD,178,Chelsea,Brentford,4.7,1.0,0.0,0
Marc Guiu Paz,FWD,178,Chelsea,Brentford,4.7,1.0,0.0,0
Eddie Nketiah,FWD,11,Crystal Palace,Brighton & Hove Albion,5.9,1.0,0.51,4
Eddie Nketiah,FWD,11,Crystal Palace,Brighton & Hove Albion,5.9,1.0,0.51,4
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Ipswich Town,7.1,1.0,6.36,9
Ollie Watkins,FWD,58,Aston Villa,Nottingham Forest,9.0,0.75,4.03,1
Ethan Wheatley,FWD,648,Manchester United,Manchester City,4.5,1.0,0.0,0
Ethan Wheatley,FWD,648,Manchester United,Manchester City,4.5,1.0,0.0,0
Rodrigo Muniz Carvalho,FWD,251,Fulham,Liverpool,5.5,1.0,1.05,7
Adam Armstrong,FWD,453,Southampton,Tottenham Hotspur,5.1,1.0,1.98,2
Raúl Jiménez,FWD,252,Fulham,Liverpool,5.5,1.0,2.48,2
Hákon Valdimarsson,GK,109,Brentford,Chelsea,3.9,1.0,0.0,0
Jason Steele,GK,142,Brighton & Hove Albion,Crystal Palace,4.2,1.0,0.0,0
José Malheiro de Sá,GK,554,Wolverhampton Wanderers,Ipswich Town,4.3,0.0,1.21,0
Kepa Arrizabalaga,GK,152,Bournemouth,West Ham United,4.5,1.0,2.3,2
Tom Heaton,GK,374,Manchester United,Manchester City,4.0,1.0,0.0,0
Scott Carson,GK,344,Manchester City,Manchester United,4.0,1.0,0.0,0
Daniel Iversen,GK,294,Leicester City,Newcastle United,4.0,1.0,0.0,0
Mads Hermansen,GK,293,Leicester City,Newcastle United,4.5,1.0,1.34,2
Sam Johnstone,GK,204,Wolverhampton Wanderers,Ipswich Town,4.3,1.0,0.16,1
Robin Olsen,GK,51,Aston Villa,Nottingham Forest,4.5,1.0,0.15,0
Bart Verbruggen,GK,146,Brighton & Hove Albion,Crystal Palace,4.5,1.0,2.04,1
Robert Sánchez,GK,185,Chelsea,Brentford,4.8,1.0,1.14,3
Aaron Ramsdale,GK,14,Southampton,Tottenham Hotspur,4.4,0.0,0.0,0
Matt Turner,GK,445,Crystal Palace,Brighton & Hove Albion,4.0,1.0,0.0,0
Altay Bayindir,GK,367,Manchester United,Manchester City,4.3,1.0,0.0,0
André Onana,GK,383,Manchester United,Manchester City,5.2,1.0,3.5,2
Will Dennis,GK,599,Bournemouth,West Ham United,4.0,1.0,0.0,0
Joe Lumley,GK,466,Southampton,Tottenham Hotspur,4.0,1.0,1.35,0
Norberto Murara Neto,GK,73,Arsenal,Everton,4.2,1.0,0.0,0
Nick Pope,GK,413,Newcastle United,Leicester City,5.0,0.25,1.39,0
Oliwier Zych,GK,641,Aston Villa,Nottingham Forest,4.0,1.0,0.0,0
Emiliano Martínez Romero,GK,47,Aston Villa,Nottingham Forest,5.0,1.0,2.13,2
Tommy Setford,GK,639,Arsenal,Everton,4.5,1.0,0.0,0
Remi Matthews,GK,209,Crystal Palace,Brighton & Hove Albion,4.0,1.0,0.0,0
Lucas Bergström,GK,154,Chelsea,Brentford,4.0,1.0,0.0,0
David Raya Martin,GK,15,Arsenal,Everton,5.6,1.0,3.81,6
Mark Flekken,GK,91,Brentford,Chelsea,4.5,1.0,3.76,3
Ederson Santana de Moraes,GK,347,Manchester City,Manchester United,5.4,1.0,0.32,1
Bernd Leno,GK,248,Fulham,Liverpool,5.0,1.0,1.57,1
Daniel Bentley,GK,536,Wolverhampton Wanderers,Ipswich Town,4.0,1.0,0.0,0
Gavin Bazunu,GK,454,Southampton,Tottenham Hotspur,4.3,0.0,0.0,0
Danny Ward,GK,308,Leicester City,Newcastle United,4.0,1.0,0.0,1
Joe Gauci,GK,39,Aston Villa,Nottingham Forest,4.0,1.0,0.0,0
Martin Dúbravka,GK,396,Newcastle United,Leicester City,4.2,1.0,0.0,6
Tom King,GK,556,Wolverhampton Wanderers,Ipswich Town,4.0,1.0,0.0,0
Marcus Bettinelli,GK,155,Chelsea,Brentford,3.9,1.0,0.0,0
Alex McCarthy,GK,469,Southampton,Tottenham Hotspur,4.3,1.0,0.18,1
Steven Benda,GK,242,Fulham,Liverpool,4.0,1.0,0.0,0
Dean Henderson,GK,201,Crystal Palace,Brighton & Hove Albion,4.4,1.0,3.46,2
John Ruddy,GK,414,Newcastle United,Leicester City,4.0,1.0,0.0,0
Odysseas Vlachodimos,GK,412,Newcastle United,Leicester City,4.3,1.0,0.0,0
Filip Jørgensen,GK,581,Chelsea,Brentford,4.2,1.0,0.03,0
Jakub Stolarczyk,GK,304,Leicester City,Newcastle United,4.0,0.0,0.0,0
Mark Travers,GK,84,Bournemouth,West Ham United,4.4,1.0,0.0,0
Stefan Ortega Moreno,GK,358,Manchester City,Manchester United,5.2,1.0,1.6,0
